address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
"P.O. Box 10931, 169 Revere Drive, Pittsburgh, PA 15236",AT-LARGE,,PLEASANT HILLS,BOROUGH,Linda Fancsali,TAX COLLECTOR,4126536321,,,https://www.pleasanthillspa.com/index.php/services/taxes,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,William Trimbath,MAYOR,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Nicole Leckenby,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Eileen Solinas,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Cheryl Lee S. Freedman,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,"Marion ""Mimi"" Haley",MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Robert Karcher,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Greg Smith,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
,AT-LARGE,,PLEASANT HILLS,BOROUGH,Andrew Codelka,MEMBER OF COUNCIL,,,,https://www.pleasanthillspa.com/index.php/about-us/contact-us,False
