address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
"351 Walnut Street, Pittsburgh, PA 15238",AT-LARGE,,BLAWNOX,BOROUGH,Casey Cunningham,TAX COLLECTOR,4124992086,,,https://www.blawnox.com/tax-collector,False
,AT-LARGE,,BLAWNOX,BOROUGH,Anthony W. Gross,MAYOR,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Deborah E. Laskey,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Randall Stoddard,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Meghan Kennedy,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Elaine Palmer,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Katie Specht-Coban,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,John Simmons,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
,AT-LARGE,,BLAWNOX,BOROUGH,Jessica Dayhoff,MEMBER OF COUNCIL,,,,https://www.blawnox.com/borough-mayor-council,False
