address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
"927 Freeport Rd., Pittsburgh, PA 15238",AT-LARGE,,EAST DEER,TOWNSHIP,Bernadette Paulovich,TAX COLLECTOR,7242745748,,,http://eastdeertownship.org/tax-collector/,False
,AT-LARGE,,EAST DEER,TOWNSHIP,Anthony Taliani Jr.,COMMISSIONER,,,,http://eastdeertownship.org/commissioners/,False
,WARD 2,,EAST DEER,TOWNSHIP,Edward Kissel,COMMISSIONER,,,,http://eastdeertownship.org/commissioners/,False
,WARD 1,,EAST DEER,TOWNSHIP,Joseph E. Novosat Jr.,COMMISSIONER,,,,http://eastdeertownship.org/commissioners/,False
,AT-LARGE,,EAST DEER,TOWNSHIP,John Nwranski,COMMISSIONER,,,,http://eastdeertownship.org/commissioners/,False
,AT-LARGE,,EAST DEER,TOWNSHIP,Rick Stoneburner,COMMISSIONER,,,,http://eastdeertownship.org/commissioners/,False
