address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,PLUM,BOROUGH,Harry Schlegel,MAYOR,4127956800p4101,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Dave Odom,MEMBER OF COUNCIL,4127956800p4103,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Dave Vento,MEMBER OF COUNCIL,4127956800p4104,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Ryan Delaney,MEMBER OF COUNCIL,4127956800p4108,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Paul Dern,MEMBER OF COUNCIL,4127956800p4107,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Michael Doyle,MEMBER OF COUNCIL,4127956800p4102,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Dan Hadley,MEMBER OF COUNCIL,4127956800p4106,,,https://www.plumboro.com/government,False
,AT-LARGE,,PLUM,BOROUGH,Mike Pastor,MEMBER OF COUNCIL,4127956800p4105,,,https://www.plumboro.com/government,False
"4555 New Texas Road, Plum, PA 15239",AT-LARGE,,PLUM,BOROUGH,Lisa A. Lagnese,TAX COLLECTOR,4127954600,,,https://www.plumboro.com/finance/pages/real-estate-tax,False
