address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,WHITE OAK,BOROUGH,Ina Jean Marton,MAYOR,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Chuck Davis,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Lou Bender,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Julie Opferman,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Edward Babyak,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,George Dillinger,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,George Pambacas,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Kenneth Robb,MEMBER OF COUNCIL,,,,http://www.woboro.com/contacts-072607.htm,False
,AT-LARGE,,WHITE OAK,BOROUGH,Lisa Pitchford,TAX COLLECTOR,4126780437,,,http://www.woboro.com/contacts-072607.htm,False
