address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,SOUTH PARK,TOWNSHIP,Walter C. Sackinsky,SUPERVISOR,4128331933,,,http://www.southparktwp.com/officials_elected.php,False
,AT-LARGE,,SOUTH PARK,TOWNSHIP,Edward T. Snee,SUPERVISOR,4126530127,,,http://www.southparktwp.com/officials_elected.php,False
,AT-LARGE,,SOUTH PARK,TOWNSHIP,Brian M. Lucot,SUPERVISOR,4125599284,,,http://www.southparktwp.com/officials_elected.php,False
"2550 Brownsville Road, Unit 1, South Park, PA 15129",AT-LARGE,,SOUTH PARK,TOWNSHIP,Larry Arrigo,TAX COLLECTOR,4128338292,,,http://www.southparktwp.com/officials_elected.php,False
,AT-LARGE,,SOUTH PARK,TOWNSHIP,David Oyler,AUDITOR,,,,http://www.southparktwp.com/officials_elected.php,False
,AT-LARGE,,SOUTH PARK,TOWNSHIP,Rick Self,AUDITOR,,,,http://www.southparktwp.com/officials_elected.php,False
,AT-LARGE,,SOUTH PARK,TOWNSHIP,Jack Robertshaw,AUDITOR,,,,http://www.southparktwp.com/officials_elected.php,False
