address,district,email,muniName,muniType,name,office,phone,termEnd,termStart,url,vacant
,AT-LARGE,,DRAVOSBURG,BOROUGH,Kevin McKelvey,MAYOR,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,Jay McKelvey,MEMBER OF COUNCIL,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,Bill Snodgrass,MEMBER OF COUNCIL,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,Michelle Vezzani,MEMBER OF COUNCIL,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,Matthew Mols,MEMBER OF COUNCIL,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,John Palcsey,MEMBER OF COUNCIL,,,,https://www.dravosburg.org/borough-officials,False
,AT-LARGE,,DRAVOSBURG,BOROUGH,Charles Gross,TAX COLLECTOR,4124690743,,,https://www.dravosburg.org/borough-officials,False
